!datetime	Flow_metersCubedPerSecond
2013-05-16 00:00:00	-0.0324
2013-05-17 00:00:00	-0.0337
2013-05-18 00:00:00	-0.0464
2013-05-19 00:00:00	-0.0651
2013-05-20 00:00:00	-0.0937
2013-05-21 00:00:00	-0.0612
2013-05-22 00:00:00	-0.0584
2013-05-23 00:00:00	-0.0591
2013-05-24 00:00:00	-0.0422
2013-05-25 00:00:00	-0.035
2013-05-26 00:00:00	-0.0321
2013-05-27 00:00:00	-0.0305
2013-05-28 00:00:00	-0.0303
2013-05-29 00:00:00	-0.0302
2013-05-30 00:00:00	-0.0284
2013-05-31 00:00:00	-0.0309
2013-06-01 00:00:00	-0.0296
2013-06-02 00:00:00	-0.0473
2013-06-03 00:00:00	-0.0431
2013-06-04 00:00:00	-0.0291
2013-06-05 00:00:00	-0.0267
2013-06-06 00:00:00	-0.1499
2013-06-07 00:00:00	-0.1287
2013-06-08 00:00:00	-0.0788
2013-06-09 00:00:00	-0.0587
2013-06-10 00:00:00	-0.0639
2013-06-11 00:00:00	-0.0672
2013-06-12 00:00:00	-0.0525
2013-06-13 00:00:00	-0.0513
2013-06-14 00:00:00	-0.0428
2013-06-15 00:00:00	-0.0343
2013-06-16 00:00:00	-0.0327
2013-06-17 00:00:00	-0.0339
2013-06-18 00:00:00	-0.0449
2013-06-19 00:00:00	-0.044
2013-06-20 00:00:00	-0.0351
2013-06-21 00:00:00	-0.028
2013-06-22 00:00:00	-0.0275
2013-06-23 00:00:00	-0.0264
2013-06-24 00:00:00	-0.0261
2013-06-25 00:00:00	-0.0257
2013-06-26 00:00:00	-0.0401
2013-06-27 00:00:00	-0.0343
2013-06-28 00:00:00	-0.0261
2013-06-29 00:00:00	-0.0269
2013-06-30 00:00:00	-0.0307
2013-07-01 00:00:00	-0.0277
2013-07-02 00:00:00	-0.1215
2013-07-03 00:00:00	-0.2394
2013-07-04 00:00:00	-0.2625
2013-07-05 00:00:00	-0.1548
2013-07-06 00:00:00	-0.0812
2013-07-07 00:00:00	-0.0694
2013-07-08 00:00:00	-0.0605
2013-07-09 00:00:00	-0.048
2013-07-10 00:00:00	-0.1901
2013-07-11 00:00:00	-0.19
2013-07-12 00:00:00	-0.1306
2013-07-13 00:00:00	-0.0993
2013-07-14 00:00:00	-0.0971
2013-07-15 00:00:00	-0.0762
2013-07-16 00:00:00	-0.066
2013-07-17 00:00:00	-0.0594
2013-07-18 00:00:00	-0.054
2013-07-19 00:00:00	-0.0506
2013-07-20 00:00:00	-0.048
2013-07-21 00:00:00	-0.0478
2013-07-22 00:00:00	-0.0475
2013-07-23 00:00:00	-0.0451
2013-07-24 00:00:00	-0.0401
2013-07-25 00:00:00	-0.0373
2013-07-26 00:00:00	-0.0357
2013-07-27 00:00:00	-0.046
2013-07-28 00:00:00	-0.0444
2013-07-29 00:00:00	-0.0328
2013-07-30 00:00:00	-0.0305
2013-07-31 00:00:00	-0.0303
2013-08-01 00:00:00	-0.0367
2013-08-02 00:00:00	-0.0333
2013-08-03 00:00:00	-0.0276
2013-08-04 00:00:00	-0.0268
2013-08-05 00:00:00	-0.0242
2013-08-06 00:00:00	-0.0332
2013-08-07 00:00:00	-0.0339
2013-08-08 00:00:00	-0.0583
2013-08-09 00:00:00	-0.051
2013-08-10 00:00:00	-0.0323
2013-08-11 00:00:00	-0.0358
2013-08-12 00:00:00	-0.0349
2013-08-13 00:00:00	-0.032
2013-08-14 00:00:00	-0.0276
2013-08-15 00:00:00	-0.022
2013-08-16 00:00:00	-0.0217
2013-08-17 00:00:00	-0.0372
2013-08-18 00:00:00	-0.0591
2013-08-19 00:00:00	-0.0356
2013-08-20 00:00:00	-0.0298
2013-08-21 00:00:00	-0.0266
2013-08-22 00:00:00	-0.0268
2013-08-23 00:00:00	-0.023
2013-08-24 00:00:00	-0.0217
2013-08-25 00:00:00	-0.019
2013-08-26 00:00:00	-0.0184
2013-08-27 00:00:00	-0.0194
2013-08-28 00:00:00	-0.0215
2013-08-29 00:00:00	-0.0221
2013-08-30 00:00:00	-0.019
2013-08-31 00:00:00	-0.0223
2013-09-01 00:00:00	-0.0219
2013-09-02 00:00:00	-0.0178
2013-09-03 00:00:00	-0.0168
2013-09-04 00:00:00	-0.0149
2013-09-05 00:00:00	-0.0149
2013-09-06 00:00:00	-0.0134
2013-09-07 00:00:00	-0.0134
2013-09-08 00:00:00	-0.0142
2013-09-09 00:00:00	-0.0135
2013-09-10 00:00:00	-0.0274
2013-09-11 00:00:00	-0.0522
2013-09-12 00:00:00	-0.0483
2013-09-13 00:00:00	-0.0457
2013-09-14 00:00:00	-0.0445
2013-09-15 00:00:00	-0.0439
2013-09-16 00:00:00	-0.0448
2013-09-17 00:00:00	-0.0436
2013-09-18 00:00:00	-0.0426
2013-09-19 00:00:00	-0.0425
2013-09-20 00:00:00	-0.0551
2013-09-21 00:00:00	-0.0684
2013-09-22 00:00:00	-0.0557
2013-09-23 00:00:00	-0.0447
2013-09-24 00:00:00	-0.0432
2013-09-25 00:00:00	-0.0431
2013-09-26 00:00:00	-0.0435
2013-09-27 00:00:00	-0.0429
2013-09-28 00:00:00	-0.041
2013-09-29 00:00:00	-0.0417
2013-09-30 00:00:00	-0.0399
2013-10-01 00:00:00	-0.0399
2013-10-02 00:00:00	-0.0399
2013-10-03 00:00:00	-0.0388
2013-10-04 00:00:00	-0.0387
2013-10-05 00:00:00	-0.0388
2013-10-06 00:00:00	-0.0369
2013-10-07 00:00:00	-0.0895
2013-10-08 00:00:00	-0.069
2013-10-09 00:00:00	-0.0398
2013-10-10 00:00:00	-0.0475
2013-10-11 00:00:00	-0.0446
2013-10-12 00:00:00	-0.0432
2013-10-13 00:00:00	-0.0416
2013-10-14 00:00:00	-0.0464
2013-10-15 00:00:00	-0.0438
2013-10-16 00:00:00	-0.0378
2013-10-17 00:00:00	-0.0385
2013-10-18 00:00:00	-0.0391
2013-10-19 00:00:00	-0.0358
2013-10-20 00:00:00	-0.0372
2013-10-21 00:00:00	-0.0355
2013-10-22 00:00:00	-0.0354
2013-10-23 00:00:00	-0.0392
2013-10-24 00:00:00	-0.0384
2013-10-25 00:00:00	-0.0388
2013-10-26 00:00:00	-0.0366
2013-10-27 00:00:00	-0.037
2013-10-28 00:00:00	-0.0373
2013-10-29 00:00:00	-0.0362
2013-10-30 00:00:00	-0.0362
2013-10-31 00:00:00	-0.0344
2013-11-01 00:00:00	-0.0389
2013-11-02 00:00:00	-0.0401
2013-11-03 00:00:00	-0.0418
2013-11-04 00:00:00	-0.0403
2013-11-05 00:00:00	-0.0395
2013-11-06 00:00:00	-0.0383
2013-11-07 00:00:00	-0.0418
2013-11-08 00:00:00	-0.044
2013-11-09 00:00:00	-0.0425
2013-11-10 00:00:00	-0.0436
2013-11-11 00:00:00	-0.0421
2013-11-12 00:00:00	-0.0462
2013-11-13 00:00:00	-0.0456
2013-11-14 00:00:00	-0.0437
2013-11-15 00:00:00	-0.0495
2013-11-16 00:00:00	-0.0563
2013-11-17 00:00:00	-0.047
2013-11-18 00:00:00	-0.0521
2013-11-19 00:00:00	-0.0489
2013-11-20 00:00:00	-0.0458
2013-11-21 00:00:00	-0.0433
2013-11-22 00:00:00	-0.0421
2013-11-23 00:00:00	-0.0467
2013-11-24 00:00:00	-0.05
2013-11-25 00:00:00	-0.0462
2013-11-26 00:00:00	-0.1637
2013-11-27 00:00:00	-0.1733
2013-11-28 00:00:00	-0.061
2013-11-29 00:00:00	-0.0467
2013-11-30 00:00:00	-0.0427
2013-12-01 00:00:00	-0.0432
2013-12-02 00:00:00	-0.0447
2013-12-03 00:00:00	-0.0473
2013-12-04 00:00:00	-0.042
2013-12-05 00:00:00	-0.0361
2013-12-06 00:00:00	-0.0585
2013-12-07 00:00:00	-0.0843
2013-12-08 00:00:00	-0.0541
2013-12-09 00:00:00	-0.0585
2013-12-10 00:00:00	-0.0991
2013-12-11 00:00:00	-0.0894
2013-12-12 00:00:00	-0.0521
2013-12-13 00:00:00	-0.0477
2013-12-14 00:00:00	-0.0647
2013-12-15 00:00:00	-0.0711
2013-12-16 00:00:00	-0.0521
2013-12-17 00:00:00	-0.0522
2013-12-18 00:00:00	-0.0535
2013-12-19 00:00:00	-0.0449
2013-12-20 00:00:00	-0.0423
2013-12-21 00:00:00	-0.0391
2013-12-22 00:00:00	-0.0488
2013-12-23 00:00:00	-0.1147
2013-12-24 00:00:00	-0.0834
2013-12-25 00:00:00	-0.0555
2013-12-26 00:00:00	-0.05
2013-12-27 00:00:00	-0.0466
2013-12-28 00:00:00	-0.0439
2013-12-29 00:00:00	-0.0981
2013-12-30 00:00:00	-0.0855
2013-12-31 00:00:00	-0.0588
2014-01-01 00:00:00	-0.0518
2014-01-02 00:00:00	-0.0495
2014-01-03 00:00:00	-0.0584
2014-01-04 00:00:00	-0.0481
2014-01-05 00:00:00	-0.0493
2014-01-06 00:00:00	-0.0558
2014-01-07 00:00:00	-0.0896
2014-01-08 00:00:00	-0.0719
2014-01-09 00:00:00	-0.0451
2014-01-10 00:00:00	-0.0716
2014-01-11 00:00:00	-0.1084
2014-01-12 00:00:00	-0.086
2014-01-13 00:00:00	-0.0596
2014-01-14 00:00:00	-0.0594
2014-01-15 00:00:00	-0.0571
2014-01-16 00:00:00	-0.053
2014-01-17 00:00:00	-0.0511
2014-01-18 00:00:00	-0.053
2014-01-19 00:00:00	-0.0492
2014-01-20 00:00:00	-0.0474
2014-01-21 00:00:00	-0.0506
2014-01-22 00:00:00	-0.0573
2014-01-23 00:00:00	-0.0564
2014-01-24 00:00:00	-0.1101
2014-01-25 00:00:00	-0.0903
2014-01-26 00:00:00	-0.047
2014-01-27 00:00:00	-0.0486
2014-01-28 00:00:00	-0.0535
2014-01-29 00:00:00	-0.0541
2014-01-30 00:00:00	-0.0648
2014-01-31 00:00:00	-0.0466
2014-02-01 00:00:00	-0.0454
2014-02-02 00:00:00	-0.0438
2014-02-03 00:00:00	-0.1219
2014-02-04 00:00:00	-0.0975
2014-02-05 00:00:00	-0.0625
2014-02-06 00:00:00	-0.0584
2014-02-07 00:00:00	-0.0533
2014-02-08 00:00:00	-0.0507
2014-02-09 00:00:00	-0.0493
2014-02-10 00:00:00	-0.05
2014-02-11 00:00:00	-0.0489
2014-02-12 00:00:00	-0.0674
2014-02-13 00:00:00	-0.1905
2014-02-14 00:00:00	-0.0803
2014-02-15 00:00:00	-0.0577
2014-02-16 00:00:00	-0.0528
2014-02-17 00:00:00	-0.0476
2014-02-18 00:00:00	-0.051
2014-02-19 00:00:00	-0.0823
2014-02-20 00:00:00	-0.0909
2014-02-21 00:00:00	-0.1507
2014-02-22 00:00:00	-0.1234
2014-02-23 00:00:00	-0.0782
2014-02-24 00:00:00	-0.0757
2014-02-25 00:00:00	-0.068
2014-02-26 00:00:00	-0.0585
2014-02-27 00:00:00	-0.0584
2014-02-28 00:00:00	-0.0552
2014-03-01 00:00:00	-0.0522
2014-03-02 00:00:00	-0.0586
2014-03-03 00:00:00	-0.0976
2014-03-04 00:00:00	-0.0815
2014-03-05 00:00:00	-0.0619
2014-03-06 00:00:00	-0.0576
2014-03-07 00:00:00	-0.0627
2014-03-08 00:00:00	-0.0477
2014-03-09 00:00:00	-0.0324
2014-03-10 00:00:00	-0.0274
2014-03-11 00:00:00	-0.0265
2014-03-12 00:00:00	-0.0274
2014-03-13 00:00:00	-0.0282
2014-03-14 00:00:00	-0.0238
2014-03-15 00:00:00	-0.0228
2014-03-16 00:00:00	-0.0302
2014-03-17 00:00:00	-0.0325
2014-03-18 00:00:00	-0.0287
2014-03-19 00:00:00	-0.0341
2014-03-20 00:00:00	-0.0332
2014-03-21 00:00:00	-0.0331
2014-03-22 00:00:00	-0.0362
2014-03-23 00:00:00	-0.0417
2014-03-24 00:00:00	-0.0462
2014-03-25 00:00:00	-0.0583
2014-03-26 00:00:00	-0.0632
2014-03-27 00:00:00	-0.0639
2014-03-28 00:00:00	-0.0689
2014-03-29 00:00:00	-0.0764
2014-03-30 00:00:00	-0.0811
2014-03-31 00:00:00	-0.078
2014-04-01 00:00:00	-0.0813
2014-04-02 00:00:00	-0.086
2014-04-03 00:00:00	-0.0923
2014-04-04 00:00:00	-0.0974
2014-04-05 00:00:00	-0.1001
2014-04-06 00:00:00	-0.104
2014-04-07 00:00:00	-0.1251
2014-04-08 00:00:00	-0.1296
2014-04-09 00:00:00	-0.1175
2014-04-10 00:00:00	-0.122
2014-04-11 00:00:00	-0.1265
2014-04-12 00:00:00	-0.1312
2014-04-13 00:00:00	-0.1357
2014-04-14 00:00:00	-0.1408
2014-04-15 00:00:00	-0.1607
2014-04-16 00:00:00	-0.1646
2014-04-17 00:00:00	-0.1537
2014-04-18 00:00:00	-0.1581
2014-04-19 00:00:00	-0.1626
2014-04-20 00:00:00	-0.1673
