"",9.200
135.0000,0.0000E+000
136.0000,3.3716E+002
137.0000,3.7980E+002
138.0000,3.8311E+002
139.0000,3.8290E+002
140.0000,3.4334E+002
141.0000,3.4967E+002
142.0000,3.8294E+002
143.0000,3.3290E+002
144.0000,2.4514E+002
145.0000,2.5101E+002
146.0000,2.6373E+002
147.0000,3.1995E+002
148.0000,3.4932E+002
149.0000,3.3793E+002
150.0000,3.2076E+002
151.0000,3.4410E+002
152.0000,3.5398E+002
153.0000,3.8686E+002
154.0000,3.2364E+002
155.0000,3.5872E+002
156.0000,3.6992E+002
157.0000,3.7287E+002
158.0000,3.4147E+002
159.0000,3.7101E+002
160.0000,4.0630E+002
161.0000,3.5839E+002
162.0000,3.4020E+002
163.0000,3.7550E+002
164.0000,3.1783E+002
165.0000,3.1530E+002
166.0000,3.2814E+002
167.0000,3.8635E+002
168.0000,3.9526E+002
169.0000,3.6638E+002
170.0000,3.9126E+002
171.0000,3.8906E+002
172.0000,3.2629E+002
173.0000,3.4394E+002
174.0000,4.0127E+002
175.0000,4.0077E+002
176.0000,3.7655E+002
177.0000,3.6714E+002
178.0000,3.8302E+002
179.0000,3.7366E+002
180.0000,3.8332E+002
181.0000,4.1505E+002
182.0000,4.0500E+002
183.0000,3.9015E+002
184.0000,3.9744E+002
185.0000,4.0408E+002
186.0000,3.6388E+002
187.0000,3.8252E+002
188.0000,3.7755E+002
189.0000,4.0161E+002
190.0000,3.6695E+002
191.0000,3.9206E+002
192.0000,3.9875E+002
193.0000,3.9947E+002
194.0000,4.0293E+002
195.0000,4.2268E+002
196.0000,3.7195E+002
197.0000,4.0192E+002
198.0000,4.1236E+002
199.0000,4.3188E+002
200.0000,3.8621E+002
201.0000,3.9569E+002
202.0000,3.8574E+002
203.0000,3.8861E+002
204.0000,3.5476E+002
205.0000,3.8488E+002
206.0000,3.2978E+002
207.0000,4.1254E+002
208.0000,3.7698E+002
209.0000,3.3318E+002
210.0000,3.0463E+002
211.0000,3.8748E+002
212.0000,3.8230E+002
213.0000,3.3725E+002
214.0000,3.4620E+002
215.0000,3.8449E+002
216.0000,3.1612E+002
217.0000,3.7855E+002
218.0000,4.0690E+002
219.0000,3.8955E+002
220.0000,3.8894E+002
221.0000,3.8101E+002
222.0000,3.9667E+002
223.0000,3.9892E+002
224.0000,3.9983E+002
225.0000,3.4895E+002
226.0000,2.8612E+002
227.0000,3.6732E+002
228.0000,3.7650E+002
229.0000,3.9897E+002
230.0000,3.8504E+002
231.0000,3.5499E+002
232.0000,4.0693E+002
233.0000,3.5790E+002
234.0000,4.0901E+002
235.0000,3.7420E+002
236.0000,3.1954E+002
237.0000,3.1647E+002
238.0000,3.3638E+002
239.0000,3.7282E+002
240.0000,3.9594E+002
241.0000,3.7229E+002
242.0000,3.8031E+002
243.0000,3.6608E+002
244.0000,3.6361E+002
245.0000,3.6675E+002
246.0000,3.2469E+002
247.0000,3.2033E+002
248.0000,3.3595E+002
249.0000,3.6266E+002
250.0000,3.3051E+002
251.0000,3.5816E+002
252.0000,3.9372E+002
253.0000,3.7125E+002
254.0000,3.7775E+002
255.0000,3.5025E+002
256.0000,2.8519E+002
257.0000,2.7546E+002
258.0000,3.7751E+002
259.0000,3.1016E+002
260.0000,2.8404E+002
261.0000,3.8721E+002
262.0000,3.7761E+002
263.0000,3.7944E+002
264.0000,3.2629E+002
265.0000,3.7345E+002
266.0000,3.7301E+002
267.0000,3.5746E+002
268.0000,3.6727E+002
269.0000,2.9598E+002
270.0000,3.7895E+002
271.0000,3.6418E+002
272.0000,3.7055E+002
273.0000,3.6172E+002
274.0000,3.3609E+002
275.0000,3.2663E+002
276.0000,3.5782E+002
277.0000,3.4537E+002
278.0000,3.4797E+002
279.0000,3.7142E+002
280.0000,2.8046E+002
281.0000,2.7995E+002
282.0000,3.6874E+002
283.0000,3.5069E+002
284.0000,3.8337E+002
285.0000,3.8647E+002
286.0000,3.8535E+002
287.0000,3.1663E+002
288.0000,3.2022E+002
289.0000,3.6552E+002
290.0000,3.5842E+002
291.0000,2.7323E+002
292.0000,3.1689E+002
293.0000,2.4712E+002
294.0000,2.8676E+002
295.0000,3.2162E+002
296.0000,2.3858E+002
297.0000,2.6915E+002
298.0000,2.6782E+002
299.0000,3.1887E+002
300.0000,3.2982E+002
301.0000,3.5140E+002
302.0000,3.7745E+002
303.0000,3.6535E+002
304.0000,3.8102E+002
305.0000,2.7949E+002
306.0000,2.4637E+002
307.0000,2.3718E+002
308.0000,2.8103E+002
309.0000,3.4333E+002
310.0000,3.0255E+002
311.0000,2.2831E+002
312.0000,2.2028E+002
313.0000,2.4719E+002
314.0000,2.2449E+002
315.0000,3.1666E+002
316.0000,2.0953E+002
317.0000,2.0900E+002
318.0000,2.1562E+002
319.0000,3.5539E+002
320.0000,3.4588E+002
321.0000,3.7980E+002
322.0000,2.3728E+002
323.0000,2.5143E+002
324.0000,3.0462E+002
325.0000,3.5498E+002
326.0000,3.6636E+002
327.0000,2.7134E+002
328.0000,1.8810E+002
329.0000,3.0603E+002
330.0000,3.4782E+002
331.0000,2.1708E+002
332.0000,2.0461E+002
333.0000,2.0357E+002
334.0000,2.0920E+002
335.0000,2.3479E+002
336.0000,3.3332E+002
337.0000,2.9609E+002
338.0000,2.8906E+002
339.0000,3.7845E+002
340.0000,3.8780E+002
341.0000,2.7550E+002
342.0000,3.3111E+002
343.0000,2.6696E+002
344.0000,1.8924E+002
345.0000,2.1171E+002
346.0000,1.9906E+002
347.0000,2.7545E+002
348.0000,3.0825E+002
349.0000,2.2114E+002
350.0000,2.6652E+002
351.0000,2.5180E+002
352.0000,2.2134E+002
353.0000,2.6292E+002
354.0000,2.8892E+002
355.0000,3.4899E+002
356.0000,3.7929E+002
357.0000,2.5902E+002
358.0000,1.8112E+002
359.0000,1.9111E+002
360.0000,2.0970E+002
361.0000,2.1363E+002
362.0000,3.2553E+002
363.0000,2.5561E+002
364.0000,3.0454E+002
365.0000,2.0826E+002
366.0000,2.1647E+002
367.0000,2.9580E+002
368.0000,1.8694E+002
369.0000,2.4570E+002
370.0000,3.3688E+002
371.0000,2.0736E+002
372.0000,1.7697E+002
373.0000,2.1720E+002
374.0000,3.0320E+002
