"",9.200
135.0000,0.0000E+000
136.0000,-3.5258E+000
137.0000,6.4595E+000
138.0000,2.2536E+000
139.0000,-1.0984E+000
140.0000,-4.1627E+000
141.0000,3.4096E+000
142.0000,2.1345E+000
143.0000,-3.4458E+001
144.0000,-7.3181E+001
145.0000,-5.5260E+001
146.0000,-2.1623E+001
147.0000,-9.5494E+000
148.0000,1.0807E+001
149.0000,7.4527E+000
150.0000,2.4588E+000
151.0000,4.2053E+000
152.0000,5.2519E+000
153.0000,3.7846E-002
154.0000,-1.1915E+001
155.0000,-1.6608E+001
156.0000,-1.4192E+001
157.0000,-9.4902E+000
158.0000,-1.7400E+001
159.0000,-7.4290E+000
160.0000,7.7903E-001
161.0000,-1.0566E+001
162.0000,-1.1752E+001
163.0000,5.1251E+000
164.0000,-4.5111E+001
165.0000,-8.9556E+000
166.0000,-8.2095E+000
167.0000,-4.0870E+000
168.0000,-2.3388E+000
169.0000,-1.5613E+001
170.0000,-1.0334E+001
171.0000,-1.3087E+001
172.0000,-1.7783E+001
173.0000,-1.0781E+001
174.0000,-2.1809E+000
175.0000,-3.9533E+000
176.0000,-4.6765E+000
177.0000,-9.4970E+000
178.0000,-1.2926E+001
179.0000,-1.6049E+001
180.0000,-1.6047E+000
181.0000,-6.7106E+000
182.0000,-1.0783E+001
183.0000,-1.9537E+001
184.0000,-1.3836E+001
185.0000,-6.5043E+000
186.0000,-1.0506E+001
187.0000,-1.0315E+001
188.0000,-1.4151E+001
189.0000,-3.0709E+000
190.0000,-8.1109E+000
191.0000,-1.0125E+001
192.0000,-2.8049E+000
193.0000,-1.3720E+001
194.0000,-1.1443E+001
195.0000,-3.3759E+000
196.0000,-1.1235E+001
197.0000,-1.8491E+000
198.0000,2.5313E+000
199.0000,4.7689E+000
200.0000,-2.4791E+000
201.0000,-6.6243E+000
202.0000,-6.2248E+000
203.0000,-1.5497E+001
204.0000,-1.6495E+001
205.0000,-1.1957E+001
206.0000,-2.7173E+001
207.0000,-6.6147E+000
208.0000,-1.5720E+001
209.0000,-1.8049E+001
210.0000,-2.8578E+001
211.0000,-1.1860E+000
212.0000,-1.0536E+001
213.0000,-1.4081E+001
214.0000,-3.4050E+000
215.0000,-5.0206E+000
216.0000,-2.2971E+001
217.0000,-3.5477E+000
