"",9.200
135.0000,0.0000E+000
136.0000,-4.4618E+001
137.0000,-1.2453E+001
138.0000,-1.2090E+000
139.0000,-6.1233E+000
140.0000,-1.2454E+001
141.0000,-9.0140E+000
142.0000,-9.0451E+000
143.0000,-1.2217E+002
144.0000,-1.3663E+002
145.0000,-1.3205E+002
146.0000,-8.4936E+001
147.0000,-4.8436E+001
148.0000,4.5553E-001
149.0000,-2.2739E+001
150.0000,-3.9196E+001
151.0000,-2.3972E+001
152.0000,-2.8988E+001
153.0000,-1.3510E+001
154.0000,-6.2055E+001
155.0000,-6.7946E+001
156.0000,-4.5114E+001
157.0000,-2.1976E+001
158.0000,-4.4018E+001
159.0000,-3.6811E+001
160.0000,-9.8392E+000
161.0000,-3.5554E+001
162.0000,-6.2173E+001
163.0000,-1.8627E+001
164.0000,-1.5719E+002
165.0000,-5.7698E+001
166.0000,-7.3925E+001
167.0000,-3.8625E+001
168.0000,-3.0744E+001
169.0000,-5.3455E+001
170.0000,-3.5892E+001
171.0000,-6.0554E+001
172.0000,-7.0155E+001
173.0000,-3.8629E+001
174.0000,-2.9171E+001
175.0000,-3.1196E+001
176.0000,-4.6404E+001
177.0000,-4.9142E+001
178.0000,-5.8676E+001
179.0000,-8.4570E+001
180.0000,-3.3401E+001
181.0000,-2.5858E+001
182.0000,-3.5204E+001
183.0000,-5.2410E+001
184.0000,-3.6974E+001
185.0000,-3.0892E+001
186.0000,-4.6364E+001
187.0000,-5.3978E+001
188.0000,-5.9189E+001
189.0000,-4.6452E+001
190.0000,-5.9414E+001
191.0000,-4.3728E+001
192.0000,-2.1917E+001
193.0000,-4.2357E+001
194.0000,-3.5945E+001
195.0000,-2.6281E+001
196.0000,-7.1329E+001
197.0000,-5.4262E+001
198.0000,-2.6562E+001
199.0000,-2.0586E+001
200.0000,-3.4780E+001
201.0000,-3.6799E+001
202.0000,-3.7266E+001
203.0000,-7.4556E+001
204.0000,-7.8510E+001
205.0000,-7.6109E+001
206.0000,-1.0058E+002
207.0000,-3.5331E+001
208.0000,-5.2322E+001
209.0000,-8.4453E+001
210.0000,-1.2284E+002
211.0000,-2.6290E+001
212.0000,-4.0449E+001
213.0000,-7.2710E+001
214.0000,-5.0003E+001
215.0000,-4.2388E+001
216.0000,-9.3293E+001
217.0000,-3.3437E+001
218.0000,-2.2834E+001
219.0000,-2.0847E+001
220.0000,-2.4423E+001
221.0000,-1.3100E+001
222.0000,-2.2949E+001
223.0000,-2.3710E+001
224.0000,-2.4858E+001
225.0000,-5.4193E+001
226.0000,-1.2028E+002
227.0000,-6.7040E+001
228.0000,-5.6383E+001
229.0000,-3.3141E+001
230.0000,-1.5545E+001
231.0000,-1.9550E+001
232.0000,-4.3017E+000
233.0000,-2.2064E+001
234.0000,-7.1565E+000
235.0000,-3.8057E+001
236.0000,-6.0640E+001
237.0000,-4.5062E+001
238.0000,-4.8154E+001
239.0000,-1.7840E+001
240.0000,-3.7160E+000
241.0000,-1.0455E+001
242.0000,-1.4545E+001
243.0000,-1.7611E+001
244.0000,-1.7499E+001
245.0000,-2.1448E+001
246.0000,-6.9571E+001
247.0000,-5.8974E+001
248.0000,-6.4691E+001
249.0000,-5.7317E+001
250.0000,-6.8510E+001
251.0000,-1.8760E+001
252.0000,-8.6524E+000
253.0000,-1.4873E+001
254.0000,-1.9439E+001
255.0000,-2.9127E+001
256.0000,-1.1805E+002
257.0000,-8.1566E+001
258.0000,-2.9475E+001
259.0000,-5.2134E+001
260.0000,-8.3891E+001
261.0000,-1.6503E+001
262.0000,-3.6057E+000
263.0000,-5.0091E-001
264.0000,-3.0266E+001
265.0000,-3.8329E+001
266.0000,-2.9511E+001
267.0000,-2.3050E+001
268.0000,-1.1356E+001
269.0000,-4.3258E+001
270.0000,-3.5031E+001
271.0000,-3.3519E+001
272.0000,-1.9473E+001
273.0000,-1.9606E+001
274.0000,-2.6307E+001
275.0000,-9.5857E+000
276.0000,-3.2509E+000
277.0000,-1.0136E+001
278.0000,-4.9717E+000
279.0000,1.6140E+001
280.0000,-8.2343E+001
281.0000,-7.4901E+001
282.0000,-5.3515E+001
283.0000,-1.4819E+001
284.0000,1.1365E+000
285.0000,7.9017E+000
286.0000,6.0155E+000
287.0000,-1.9674E+001
288.0000,-2.5874E+001
289.0000,-6.5725E+000
290.0000,-2.1048E+001
291.0000,-4.1912E+001
292.0000,-6.5029E+001
293.0000,-4.6724E+001
294.0000,-3.9068E+001
295.0000,-1.7825E+001
296.0000,-8.2856E+001
297.0000,-6.5598E+001
298.0000,-5.7564E+001
299.0000,-4.1610E+001
300.0000,-1.0160E+001
301.0000,-9.9912E-001
302.0000,7.6471E+000
303.0000,7.9882E+000
304.0000,6.7785E+001
305.0000,-2.2070E+001
306.0000,-7.5465E+001
307.0000,-6.7467E+001
308.0000,-5.2982E+001
309.0000,-3.8315E+000
310.0000,6.1959E+000
311.0000,-9.0175E+001
312.0000,-4.3089E+001
313.0000,-4.5594E+001
314.0000,-3.4388E+001
315.0000,-1.6682E+001
316.0000,-7.6109E+001
317.0000,-3.2111E+001
318.0000,-1.9145E+001
319.0000,7.9054E+000
320.0000,1.7607E+001
321.0000,7.6516E+001
322.0000,-6.7775E+001
323.0000,-4.6051E+001
324.0000,-2.7711E+001
325.0000,1.8022E+000
326.0000,2.7808E+001
327.0000,-1.2811E+002
328.0000,-6.0306E+001
329.0000,-4.6192E+001
330.0000,-4.6210E+000
331.0000,-8.4590E+001
332.0000,-3.5444E+001
333.0000,-3.7702E+001
334.0000,-1.7994E+001
335.0000,-1.5813E+001
336.0000,-1.6631E+000
337.0000,5.9030E+000
338.0000,2.1161E+001
339.0000,7.7151E+001
340.0000,3.0434E+001
341.0000,-3.5855E+001
342.0000,-2.9908E+001
343.0000,-1.5639E+001
344.0000,-6.9575E+001
345.0000,-6.0176E+001
346.0000,-5.1697E+001
347.0000,-1.8232E+001
348.0000,-8.0571E+000
349.0000,-5.1005E+001
350.0000,-1.3696E+001
351.0000,-5.7942E+001
352.0000,-3.8097E+001
353.0000,-2.2103E+001
354.0000,6.2509E+000
355.0000,9.6140E+001
356.0000,5.2791E+001
357.0000,-6.0292E+001
358.0000,-7.2923E+001
359.0000,-5.9043E+001
360.0000,-4.9738E+001
361.0000,-4.5290E+001
362.0000,-1.0217E+001
363.0000,-1.7808E+001
364.0000,-2.7209E+001
365.0000,-4.4860E+001
366.0000,-3.8652E+001
367.0000,-1.2005E+002
368.0000,-4.5528E+001
369.0000,-2.5668E+001
370.0000,1.6219E+001
371.0000,-1.6287E+002
372.0000,-4.9283E+001
373.0000,-3.0577E+001
374.0000,-2.0998E+001
375.0000,-5.2671E-001
376.0000,-3.7010E+000
377.0000,-1.8314E+001
378.0000,-2.9213E+000
379.0000,-2.3740E+001
380.0000,-6.5484E+001
381.0000,-4.1881E+001
382.0000,-7.2079E+001
383.0000,-3.9439E+001
384.0000,-3.8822E+001
385.0000,-2.8813E+001
386.0000,-7.9124E+001
387.0000,-6.0818E+001
388.0000,-1.0935E+002
389.0000,-6.5559E+001
390.0000,-1.0715E+002
391.0000,-3.5836E+001
392.0000,-9.8373E+001
393.0000,-3.7639E+001
394.0000,-5.2851E+001
395.0000,-3.7217E+001
396.0000,-1.4709E+001
397.0000,-1.1135E+001
398.0000,6.7506E+000
399.0000,-1.5761E+001
400.0000,-2.3466E+001
401.0000,-6.9287E+001
402.0000,-3.6962E+001
403.0000,-3.7659E+001
404.0000,-3.0554E+001
405.0000,-4.8807E+001
406.0000,-4.6237E+001
407.0000,-6.4221E+001
408.0000,-8.6553E+001
409.0000,-9.5508E+001
410.0000,-3.0402E+001
411.0000,-7.2882E+001
412.0000,-5.3825E+001
413.0000,-5.1965E+001
414.0000,-4.1316E+001
415.0000,-2.6754E+001
416.0000,1.3400E+001
417.0000,-8.0903E+001
418.0000,-6.8796E+001
419.0000,-6.4983E+001
420.0000,-6.8953E+001
421.0000,-6.5084E+001
422.0000,-7.9512E+001
423.0000,-8.4160E+001
424.0000,-6.7573E+001
425.0000,-3.3913E+001
426.0000,4.1324E+000
427.0000,-6.8783E+001
428.0000,-4.9490E+001
429.0000,-5.8889E+001
430.0000,-7.2447E+001
431.0000,-4.1144E+001
432.0000,-3.7654E+001
433.0000,-5.3077E+001
434.0000,-3.5024E+001
435.0000,-3.1139E+001
436.0000,-2.1035E+002
437.0000,-7.9098E+001
438.0000,-6.1136E+001
439.0000,-5.3727E+001
440.0000,-6.6766E+001
441.0000,-5.9162E+001
442.0000,-4.1125E+001
443.0000,-1.9311E+001
444.0000,-6.9115E+001
445.0000,-5.7404E+001
446.0000,-4.6492E+001
447.0000,-1.0407E+002
448.0000,-6.8073E+001
449.0000,-1.3046E+002
450.0000,-7.2142E+001
451.0000,-6.1176E+001
452.0000,6.6791E+000
453.0000,-3.7849E+000
454.0000,-1.1678E+002
455.0000,-1.3082E+001
