"",9.200
135.0000,0.0000E+000
136.0000,-3.9513E+002
137.0000,-3.9600E+002
138.0000,-3.9597E+002
139.0000,-3.9794E+002
140.0000,-4.0026E+002
141.0000,-4.0490E+002
142.0000,-4.0741E+002
143.0000,-4.0804E+002
144.0000,-3.9389E+002
145.0000,-3.8948E+002
146.0000,-3.8749E+002
147.0000,-3.8699E+002
148.0000,-3.9120E+002
149.0000,-3.9546E+002
150.0000,-3.9892E+002
151.0000,-4.0271E+002
152.0000,-4.0651E+002
153.0000,-4.0878E+002
154.0000,-4.1061E+002
155.0000,-4.1111E+002
156.0000,-4.1125E+002
157.0000,-4.1141E+002
158.0000,-4.1040E+002
159.0000,-4.1275E+002
160.0000,-4.1443E+002
161.0000,-4.1547E+002
162.0000,-4.1666E+002
163.0000,-4.1939E+002
164.0000,-4.1945E+002
165.0000,-4.1666E+002
166.0000,-4.1646E+002
167.0000,-4.1759E+002
168.0000,-4.2037E+002
169.0000,-4.1990E+002
170.0000,-4.2060E+002
171.0000,-4.2198E+002
172.0000,-4.2217E+002
173.0000,-4.2312E+002
174.0000,-4.2472E+002
175.0000,-4.2650E+002
176.0000,-4.2764E+002
177.0000,-4.2852E+002
178.0000,-4.2798E+002
179.0000,-4.2768E+002
180.0000,-4.2749E+002
181.0000,-4.2822E+002
182.0000,-4.2768E+002
183.0000,-4.2643E+002
184.0000,-4.2613E+002
185.0000,-4.2689E+002
186.0000,-4.2768E+002
187.0000,-4.2914E+002
188.0000,-4.2910E+002
189.0000,-4.2983E+002
190.0000,-4.3182E+002
191.0000,-4.3398E+002
192.0000,-4.3231E+002
193.0000,-4.2998E+002
194.0000,-4.2733E+002
195.0000,-4.3462E+002
196.0000,-4.4043E+002
197.0000,-4.4085E+002
198.0000,-4.3532E+002
199.0000,-4.3498E+002
200.0000,-4.3413E+002
201.0000,-4.3321E+002
202.0000,-4.3510E+002
203.0000,-4.3322E+002
204.0000,-4.3219E+002
205.0000,-4.3218E+002
206.0000,-4.3110E+002
207.0000,-4.3128E+002
208.0000,-4.2777E+002
209.0000,-4.2739E+002
210.0000,-4.2361E+002
211.0000,-4.2239E+002
212.0000,-4.2128E+002
213.0000,-4.2040E+002
214.0000,-4.2079E+002
215.0000,-4.1905E+002
216.0000,-4.1688E+002
217.0000,-4.1683E+002
218.0000,-4.1812E+002
219.0000,-4.1873E+002
220.0000,-4.1917E+002
221.0000,-4.2048E+002
222.0000,-4.2120E+002
223.0000,-4.2090E+002
224.0000,-4.2327E+002
225.0000,-4.1866E+002
226.0000,-4.1493E+002
227.0000,-4.1312E+002
228.0000,-4.1265E+002
229.0000,-4.1058E+002
230.0000,-4.0936E+002
231.0000,-4.1127E+002
232.0000,-4.1396E+002
233.0000,-4.1336E+002
234.0000,-4.1582E+002
235.0000,-4.1368E+002
236.0000,-4.1153E+002
237.0000,-4.0984E+002
238.0000,-4.0894E+002
239.0000,-4.1005E+002
240.0000,-4.1105E+002
241.0000,-4.1376E+002
242.0000,-4.1281E+002
243.0000,-4.1401E+002
244.0000,-4.1496E+002
245.0000,-4.1684E+002
246.0000,-4.1632E+002
247.0000,-4.1462E+002
248.0000,-4.1219E+002
249.0000,-4.1093E+002
250.0000,-4.0966E+002
251.0000,-4.1171E+002
252.0000,-4.1167E+002
253.0000,-4.1226E+002
254.0000,-4.1478E+002
255.0000,-4.1117E+002
256.0000,-4.0522E+002
257.0000,-3.9977E+002
258.0000,-4.0035E+002
259.0000,-3.9863E+002
260.0000,-3.9443E+002
261.0000,-3.9337E+002
262.0000,-3.9402E+002
263.0000,-3.9521E+002
264.0000,-3.9461E+002
265.0000,-3.9263E+002
266.0000,-3.9250E+002
267.0000,-3.9246E+002
268.0000,-3.9211E+002
269.0000,-3.9070E+002
270.0000,-3.9047E+002
271.0000,-3.9035E+002
272.0000,-3.9096E+002
273.0000,-3.9050E+002
274.0000,-3.8967E+002
275.0000,-3.8825E+002
276.0000,-3.8883E+002
277.0000,-3.8925E+002
278.0000,-3.8993E+002
279.0000,-3.9178E+002
280.0000,-3.9086E+002
281.0000,-3.8566E+002
282.0000,-3.8215E+002
283.0000,-3.8031E+002
284.0000,-3.8032E+002
285.0000,-3.8199E+002
286.0000,-3.8292E+002
287.0000,-3.8249E+002
288.0000,-3.8083E+002
289.0000,-3.8159E+002
290.0000,-3.8173E+002
291.0000,-3.7771E+002
292.0000,-3.7704E+002
293.0000,-3.6976E+002
294.0000,-3.6891E+002
295.0000,-3.6725E+002
296.0000,-3.6299E+002
297.0000,-3.5807E+002
298.0000,-3.5342E+002
299.0000,-3.4988E+002
300.0000,-3.4961E+002
301.0000,-3.5758E+002
302.0000,-3.5572E+002
303.0000,-3.5760E+002
304.0000,-3.6098E+002
305.0000,-3.6471E+002
306.0000,-3.6163E+002
307.0000,-3.5795E+002
308.0000,-3.5395E+002
309.0000,-3.5257E+002
310.0000,-3.5420E+002
311.0000,-3.5326E+002
312.0000,-3.4796E+002
313.0000,-3.4191E+002
314.0000,-3.3119E+002
315.0000,-3.2463E+002
316.0000,-3.4013E+002
317.0000,-3.1445E+002
318.0000,-3.0790E+002
319.0000,-3.3655E+002
320.0000,-3.3911E+002
321.0000,-3.4382E+002
322.0000,-3.4440E+002
323.0000,-3.4084E+002
324.0000,-3.3843E+002
325.0000,-3.3970E+002
326.0000,-3.4205E+002
327.0000,-3.4054E+002
328.0000,-3.3307E+002
329.0000,-3.2984E+002
330.0000,-3.2968E+002
331.0000,-3.2682E+002
332.0000,-3.2345E+002
333.0000,-3.2118E+002
334.0000,-3.1920E+002
335.0000,-3.1892E+002
336.0000,-3.2046E+002
337.0000,-3.2308E+002
338.0000,-3.2606E+002
339.0000,-3.3125E+002
340.0000,-3.3927E+002
341.0000,-3.4027E+002
342.0000,-3.3803E+002
343.0000,-3.3746E+002
344.0000,-3.3517E+002
345.0000,-3.3185E+002
346.0000,-3.2802E+002
347.0000,-3.2654E+002
348.0000,-3.2750E+002
349.0000,-3.2765E+002
350.0000,-3.2770E+002
351.0000,-3.2863E+002
352.0000,-3.2692E+002
353.0000,-3.2722E+002
354.0000,-3.2964E+002
355.0000,-3.3554E+002
356.0000,-3.4374E+002
357.0000,-3.4666E+002
358.0000,-3.4133E+002
359.0000,-3.3698E+002
360.0000,-3.3423E+002
361.0000,-3.3293E+002
362.0000,-3.3307E+002
363.0000,-3.3476E+002
364.0000,-3.3535E+002
365.0000,-3.3387E+002
366.0000,-3.3302E+002
367.0000,-3.3348E+002
368.0000,-3.2688E+002
369.0000,-3.2478E+002
370.0000,-3.2701E+002
371.0000,-3.2394E+002
372.0000,-3.1692E+002
373.0000,-3.1649E+002
374.0000,-3.1817E+002
375.0000,-3.2151E+002
376.0000,-3.2688E+002
377.0000,-3.2836E+002
378.0000,-3.3100E+002
379.0000,-3.3338E+002
380.0000,-3.3429E+002
381.0000,-3.3354E+002
382.0000,-3.3423E+002
383.0000,-3.3046E+002
384.0000,-3.3027E+002
385.0000,-3.3073E+002
386.0000,-3.3154E+002
387.0000,-3.2763E+002
388.0000,-3.2425E+002
