wind_speed,swr,LAKE_PARAMS/c_relax_C,par_id
0.34718,0.61877,0.00013861,p0001
0.67248,1.2116,0.0011442,p0002
0.39276,0.70206,0.00049672,p0003
1.0164,1.1908,0.00053907,p0004
0.9071,1.0844,0.0001452,p0005
0.87965,0.75082,0.00017665,p0006
0.10005,1.3463,0.0055826,p0007
0.20808,1.239,0.00014177,p0008
0.64624,0.22994,0.00015683,p0009
0.29893,0.29791,0.0018423,p0010
1.1296,0.2188,0.0098035,p0011
0.4938,1.4742,0.0034299,p0012
1.6691,0.50945,0.0016313,p0013
1.6701,0.76395,0.0032773,p0014
1.428,1.2703,0.00072779,p0015
1.8984,1.227,0.0005223,p0016
1.4592,1.0593,0.0024859,p0017
0.20195,0.22744,0.0074391,p0018
0.5558,0.33219,0.00022251,p0019
1.3639,1.3322,0.0019766,p0020
1.4893,0.25502,0.00040715,p0021
1.2099,0.21658,0.0021662,p0022
1.0613,0.24858,0.0032028,p0023
0.88349,1.4273,0.0019181,p0024
1.8611,0.20202,0.0023037,p0025
0.22166,1.4162,0.0077834,p0026
0.65621,1.4007,0.00020282,p0027
0.73051,0.27516,0.00027507,p0028
1.7852,1.3696,0.0025944,p0029
1.9683,0.27962,0.00026881,p0030
1.7678,1.3116,0.0045009,p0031
0.20336,0.10771,0.0038458,p0032
0.27887,1.4924,0.0010932,p0033
1.9582,0.74172,0.00010483,p0034
0.69515,0.63632,0.00019481,p0035
0.4107,0.95041,0.00039984,p0036
1.8778,0.43937,0.0049116,p0037
0.74629,1.481,0.0012328,p0038
0.51597,0.4002,0.0024923,p0039
1.0492,0.69753,0.0012007,p0040
0.85637,1.016,0.00012495,p0041
1.4087,0.76738,0.0026475,p0042
0.24396,0.19264,0.0015292,p0043
1.3554,0.38199,0.0020333,p0044
1.9093,0.40778,0.0014181,p0045
1.2607,1.2993,0.0034811,p0046
0.71416,0.41275,0.0040109,p0047
0.43333,0.45352,0.00029938,p0048
1.4961,1.0092,0.0003406,p0049
0.60919,0.22536,0.0011616,p0050
0.52585,0.47225,0.00043142,p0051
0.31017,1.0328,0.0070772,p0052
0.41325,1.2228,0.000284,p0053
1.1447,1.2882,0.00015792,p0054
0.58989,0.71356,0.00076969,p0055
1.3603,1.1775,0.0024203,p0056
1.4615,0.44741,0.00019045,p0057
1.4814,0.86403,0.00011383,p0058
1.7254,0.81391,0.00091189,p0059
0.49138,1.4873,0.0037473,p0060
0.50901,1.1291,0.00016986,p0061
1.971,0.91125,0.001344,p0062
0.98132,0.88542,0.0022072,p0063
1.1206,0.67503,0.00046981,p0064
0.19847,0.98437,0.0030226,p0065
1.4449,0.37545,0.0031534,p0066
1.7578,0.9224,0.00022497,p0067
0.76186,1.4532,0.0004504,p0068
0.38941,0.41598,0.0057159,p0069
1.3712,0.88092,0.00058649,p0070
0.32994,1.0291,0.00020357,p0071
1.8784,0.66252,0.00059951,p0072
1.7183,0.9072,0.0058397,p0073
1.0765,1.3786,0.0012655,p0074
1.6931,0.31888,0.0079144,p0075
1.001,0.94284,0.00024406,p0076
1.2439,1.3621,0.00088613,p0077
1.1241,1.1147,0.0017316,p0078
0.33891,0.55023,0.0011166,p0079
1.7894,0.55094,0.0039072,p0080
0.32395,1.0388,0.0017144,p0081
1.4158,0.42755,0.00031889,p0082
0.80854,1.2551,0.0062205,p0083
1.3969,0.47503,0.00056839,p0084
0.94326,1.2597,0.00036187,p0085
1.5846,0.8286,0.0084999,p0086
0.26633,1.1838,0.00036693,p0087
0.45589,0.62857,0.0011023,p0088
1.0645,0.58572,0.0029368,p0089
0.54932,0.23859,0.00066619,p0090
0.77893,1.0204,0.00037458,p0091
1.3002,0.45645,0.00063357,p0092
1.0153,0.34271,0.00020546,p0093
0.95074,0.91868,0.0020562,p0094
1.1554,1.2822,0.0018211,p0095
0.23154,0.34453,0.00011192,p0096
1.1726,1.273,0.00042416,p0097
1.0675,0.60734,0.00052611,p0098
