wind_speed,swr,mixing/coef_mix_hyp,sediment/sed_temp_mean,sediment/sed_temp_mean,par_id
0.92154,0.4793,0.88853,16.994,9.6817,p0001
0.70864,1.4072,0.27566,6.3201,11.476,p0002
1.9307,0.63359,0.49726,6.2929,2.4361,p0003
1.8232,0.24392,1.2201,8.3886,13.036,p0004
0.66284,1.0029,1.1068,7.1571,17.635,p0005
0.37578,1.4479,1.402,1.4895,17.58,p0006
0.7366,0.78053,1.4859,4.2187,1.6497,p0007
1.8686,0.7847,0.16242,1.6448,8.0093,p0008
0.71872,1.3799,1.3272,11.186,10.775,p0009
1.0914,0.12913,0.39366,15.639,8.3436,p0010
0.98038,1.4943,0.2097,3.3005,2.0681,p0011
0.60317,0.69304,0.26312,14.971,12.776,p0012
1.9891,0.32165,1.6406,8.7248,9.1795,p0013
1.0923,0.56497,1.5371,0.96906,19.192,p0014
1.679,0.66625,0.83476,17.175,7.1598,p0015
1.5516,0.19011,1.5988,8.4639,14.549,p0016
1.6339,0.78843,0.48419,10.525,15.696,p0017
1.5564,0.80852,0.77477,2.4212,10.477,p0018
0.77397,1.3975,0.43237,13.803,17.967,p0019
0.39404,0.28319,1.1241,1.5562,8.246,p0020
1.6137,0.91115,1.3879,0.84011,7.9883,p0021
0.10203,0.22915,1.9513,16.837,9.0727,p0022
1.7284,0.79748,1.0204,11.302,13.688,p0023
1.612,0.83427,1.0984,16.38,6.3996,p0024
1.0143,0.6553,1.4305,12.912,19.789,p0025
0.58707,1.2934,0.67524,7.3948,2.6548,p0026
0.49076,0.17143,0.21163,10.314,1.8026,p0027
1.4701,1.0411,1.7564,3.3975,19.292,p0028
1.206,0.75037,1.8694,13.238,7.6954,p0029
0.73258,0.70387,1.2889,15.689,5.4212,p0030
1.6512,0.37266,1.6808,19.31,1.2537,p0031
0.95333,1.0703,1.2264,10.792,10.941,p0032
0.45396,0.64603,0.80278,5.3466,2.3799,p0033
0.37253,1.2957,1.3369,9.956,15.135,p0034
0.306,0.88016,0.50441,15.221,11.751,p0035
0.91417,1.0601,0.33485,6.053,10.843,p0036
1.9686,1.2017,1.6734,0.57473,17.145,p0037
0.34878,1.0148,0.84231,17.752,11.068,p0038
0.27549,1.2836,1.0886,3.3549,1.9861,p0039
1.1266,1.139,0.82949,0.80076,6.681,p0040
1.7132,0.49378,0.28017,3.7474,5.8978,p0041
1.3709,0.9132,0.78556,2.5811,16.967,p0042
0.42651,0.84515,1.6123,10.994,16.259,p0043
0.43302,1.4515,1.0523,9.4774,4.1272,p0044
0.74064,0.89373,1.9876,3.6029,1.6717,p0045
1.933,0.81502,1.1188,1.6132,9.369,p0046
1.785,1.498,0.43017,12.95,14.486,p0047
1.906,1.111,0.22592,13.033,6.3353,p0048
0.23102,0.95042,0.56903,1.4305,1.3785,p0049
0.84681,0.90007,1.2562,1.024,13.914,p0050
1.8546,0.51218,0.15921,2.1716,17.323,p0051
0.89113,0.5071,0.67363,11.29,19.621,p0052
0.33295,1.0067,0.22111,16.267,11.033,p0053
0.13538,1.496,1.0318,3.8735,15.021,p0054
1.6972,0.98584,1.8146,19.119,16.937,p0055
1.5944,0.27894,1.0874,2.3271,5.133,p0056
0.85094,0.20151,0.40609,15.08,5.5303,p0057
0.92886,0.14862,1.9912,10.758,17.921,p0058
0.29978,1.1821,1.6434,7.6955,15.196,p0059
1.5166,1.2986,1.6704,17.815,17.764,p0060
0.72178,1.2558,0.32264,12.19,10.805,p0061
0.44512,0.49872,1.5448,19.292,14.56,p0062
1.3527,0.74898,1.5033,19.521,8.6316,p0063
0.33127,0.52437,1.2913,10.028,5.0566,p0064
0.48485,0.56071,0.78394,10.35,11.788,p0065
1.9205,1.0774,0.8708,4.3209,17.374,p0066
1.0806,0.86426,0.37209,10.656,17.799,p0067
0.22602,1.3676,0.60799,9.1632,12.063,p0068
1.6042,0.19719,0.3635,10.119,4.1002,p0069
1.4395,0.75997,1.6212,10.452,5.4697,p0070
1.7488,0.30331,1.2462,9.8313,16.556,p0071
1.1464,0.57337,0.70394,13.587,11.613,p0072
0.51852,0.36808,1.1968,4.5397,16.094,p0073
0.66104,0.25118,1.4426,3.9052,10.431,p0074
1.3272,0.8525,1.5788,5.7358,9.1997,p0075
1.6728,0.77169,0.84868,17.566,18.342,p0076
1.8208,0.70098,0.71949,8.2897,11.363,p0077
0.7246,1.222,0.88278,1.9577,13.428,p0078
1.55,1.1699,1.334,5.2277,9.4953,p0079
1.5256,0.43931,0.56359,2.0555,4.6867,p0080
1.3152,1.4212,0.39958,11.067,17.661,p0081
1.418,1.4011,1.0606,8.5813,2.5102,p0082
0.56684,0.86567,1.4524,8.1552,18.889,p0083
1.993,1.3961,1.0683,11.932,5.3235,p0084
0.51352,0.68108,1.9194,7.937,8.1487,p0085
1.5976,1.0857,0.18922,18.093,14.901,p0086
1.0485,0.38979,1.5233,12.64,17.947,p0087
0.52964,1.2504,1.654,7.6622,5.3996,p0088
0.22431,0.57918,0.54419,14.22,4.5414,p0089
0.61718,0.23922,0.59063,15.261,12.625,p0090
1.3963,0.96137,0.19412,9.3645,9.8085,p0091
1.75,0.71444,1.4946,1.6759,7.6668,p0092
0.18185,0.2911,1.7321,11.907,15.938,p0093
1.117,1.3924,0.97779,8.863,7.9273,p0094
0.38725,1.4461,0.23865,13.637,13.695,p0095
1.4487,1.0888,1.4277,12.033,9.8949,p0096
1.2298,0.43129,1.1164,16.227,2.2383,p0097
0.99031,1.3177,1.7264,13.569,3.4316,p0098
0.45999,0.79125,0.79761,4.1177,9.0436,p0099
0.32526,0.84304,1.5822,17.458,11.442,p0100
1.0007,0.74386,1.9733,17.875,18.436,p0101
1.25,0.96826,0.53116,17.181,15.684,p0102
1.4599,0.68342,0.3613,1.2143,12.718,p0103
1.5307,0.69716,0.40274,15.496,4.287,p0104
1.9268,1.0446,0.50676,10.386,15.092,p0105
1.2687,0.38204,1.1388,5.8191,18.706,p0106
0.90368,1.1945,0.90351,11.243,16.078,p0107
1.7433,0.33413,1.2998,8.9718,3.4692,p0108
0.2658,1.0637,0.48054,17.943,13.303,p0109
1.4886,0.63133,1.365,18.156,14.248,p0110
0.9442,1.2386,0.85623,4.4755,15.73,p0111
0.67006,1.1875,1.3468,14.551,15.357,p0112
1.5704,0.31521,0.34859,9.2925,19.979,p0113
1.7178,0.89153,0.5538,16.823,12.574,p0114
1.366,1.1611,1.4346,9.4532,7.5275,p0115
1.2723,0.73668,1.3441,8.4253,3.9589,p0116
0.1695,1.2453,1.2943,2.9748,3.886,p0117
1.0618,1.4697,1.0446,5.6046,13.398,p0118
1.9548,0.22224,0.41115,8.6414,18.23,p0119
1.2373,0.42418,0.11668,12.672,12.207,p0120
0.79261,1.1024,0.35494,1.8324,10.176,p0121
1.2331,0.58433,1.6663,2.2056,5.6417,p0122
0.87115,0.71056,1.8736,7.7597,3.7348,p0123
1.3741,0.4732,0.31851,5.8586,17.243,p0124
0.44914,0.35023,0.71243,18.911,18.499,p0125
0.7716,1.3511,0.36656,3.5431,7.7667,p0126
1.7968,0.16408,0.49911,18.678,15.847,p0127
1.205,1.1343,0.87519,17.413,8.9969,p0128
1.1101,0.97377,0.94198,9.1145,15.375,p0129
0.82932,1.3403,0.112,1.7511,16.855,p0130
0.11964,0.64562,1.7197,12.743,4.4402,p0131
0.31585,1.2288,0.92749,11.103,0.94182,p0132
1.2443,0.216,1.8656,16.425,8.4451,p0133
1.2097,0.66234,0.64934,19.898,0.9833,p0134
1.2944,0.58899,0.19613,0.66269,9.7132,p0135
0.22048,1.3066,1.7376,15.137,14.808,p0136
1.3421,0.93029,1.1451,17.43,12.976,p0137
0.76834,0.93321,1.3942,18.397,6.015,p0138
0.35351,1.2627,1.4233,4.9045,11.937,p0139
0.77946,1.15,0.73646,0.45902,15.432,p0140
0.68257,1.0354,0.92276,18.508,18.012,p0141
0.34647,0.87268,1.9962,10.74,6.1928,p0142
1.1951,1.0745,1.16,19.988,16.903,p0143
0.8668,0.17664,1.9753,2.9405,4.665,p0144
0.95906,0.22364,0.66354,14.502,13.591,p0145
0.39669,0.53516,1.8941,9.0302,1.0227,p0146
0.58347,1.05,0.47826,11.783,19.919,p0147
1.4762,0.75547,1.6243,18.078,9.2272,p0148
0.12332,0.52785,1.7525,18.272,14.92,p0149
0.76342,0.55274,1.847,14.005,14.861,p0150
0.16082,0.28598,0.41769,3.6245,13.828,p0151
0.99394,0.55818,1.1708,3.251,17.335,p0152
0.90662,1.2795,1.499,15.805,18.192,p0153
1.8603,1.4114,1.556,15.92,4.8651,p0154
1.1548,1.0384,1.2334,11.654,2.4504,p0155
0.33814,1.3901,1.6544,16.701,3.323,p0156
0.24872,1.1315,1.2411,8.8017,2.2702,p0157
1.7028,0.35783,0.10116,9.5656,5.8205,p0158
1.4349,1.2572,0.34153,10.841,12.042,p0159
1.3559,0.34253,1.2748,18.853,3.7276,p0160
0.11844,1.2441,0.26493,9.2097,12.417,p0161
0.68549,0.62524,0.34673,9.0655,11.554,p0162
1.8259,1.3408,1.7782,12.39,19.078,p0163
1.6575,1.0478,0.14717,11.763,18.123,p0164
1.0728,0.37141,1.8867,10.888,16.821,p0165
1.6281,0.19375,0.66016,7.6248,0.82959,p0166
0.88677,0.86844,1.1511,5.2982,8.6791,p0167
1.8765,1.0617,1.462,7.007,19.861,p0168
0.54855,1.1143,0.53797,18.018,13.862,p0169
0.59142,0.46556,1.9465,2.0025,17.087,p0170
1.9585,0.67517,1.6196,7.7959,10.465,p0171
0.88352,0.99959,0.18395,1.0643,4.7258,p0172
1.4622,1.383,1.1742,18.79,6.5388,p0173
0.70749,1.3579,0.46436,14.569,7.8145,p0174
1.7045,1.0968,1.7586,2.8732,18.979,p0175
1.7631,1.3854,1.8933,3.1633,14.981,p0176
1.6926,1.2001,0.27328,17.266,18.513,p0177
1.0363,0.81267,1.6912,15.959,3.9182,p0178
1.88,0.95491,0.83818,14.441,7.4649,p0179
0.85377,0.29593,0.17736,16.625,9.2919,p0180
0.37964,1.3633,0.89733,16.193,19.563,p0181
1.057,0.82351,0.45434,7.5561,7.3664,p0182
0.15888,0.22852,1.9287,2.6898,4.1798,p0183
0.72819,0.51491,0.44425,16.508,19.433,p0184
1.845,0.48272,1.0369,5.418,2.9995,p0185
0.82347,1.2159,1.4769,7.0289,3.2239,p0186
1.8165,0.42765,1.1992,14.758,9.3142,p0187
1.7598,0.75405,1.9077,15.443,15.05,p0188
1.1381,0.14402,1.8237,17.965,18.778,p0189
0.41482,1.3291,1.4176,2.3854,15.275,p0190
0.75854,0.79508,1.2087,2.6268,5.796,p0191
0.78428,1.4639,1.0388,9.9734,12.314,p0192
1.5412,0.83807,1.7259,7.574,19.312,p0193
0.23515,0.55469,0.98261,10.057,19.218,p0194
0.50108,0.11444,1.8531,8.9895,10.711,p0195
1.5931,0.84168,0.62587,0.9425,18.051,p0196
0.80958,0.29865,0.13447,12.52,9.486,p0197
1.5104,0.91676,1.7652,16.081,10.101,p0198
0.4515,0.63992,0.3062,16.061,6.8962,p0199
1.6431,1.3239,0.5344,18.612,19.753,p0200
0.30452,0.99762,0.28612,11.628,17.441,p0201
1.6402,0.46967,1.9953,2.6595,6.9602,p0202
0.83028,0.16014,1.4951,6.4564,4.5092,p0203
1.7731,0.40482,1.1362,11.884,13.205,p0204
1.8422,0.11268,0.79469,17.117,14.08,p0205
1.6824,0.383,0.3869,6.5169,3.1264,p0206
0.35834,0.67115,1.3548,2.8145,12.701,p0207
1.5227,1.1107,1.1875,4.59,11.708,p0208
0.99998,1.026,0.47266,18.54,5.1774,p0209
1.9996,0.99415,0.29114,5.2147,1.5509,p0210
0.57073,1.2738,0.67841,15.993,1.8799,p0211
0.27098,1.4879,0.76066,9.5957,16.391,p0212
1.0225,1.3691,1.6638,0.40899,13.995,p0213
0.80484,0.57319,0.70621,14.833,15.614,p0214
0.9509,0.54893,1.6016,8.7846,18.092,p0215
1.421,1.4408,0.54607,2.1053,16.338,p0216
0.91748,0.97806,0.80628,13.524,5.9916,p0217
1.771,0.59571,1.2822,15.539,9.7864,p0218
1.401,1.4607,0.12989,6.6395,5.255,p0219
1.3958,0.7458,0.94434,9.7182,6.7723,p0220
0.27905,1.3432,0.85347,5.6786,1.5864,p0221
1.4056,1.4048,1.5649,8.2212,10.303,p0222
0.55517,0.65358,1.0105,19.146,8.8991,p0223
1.3069,1.1484,1.6049,13.49,0.53985,p0224
1.4325,0.16655,1.0567,2.0247,11.983,p0225
1.1601,1.2667,0.75522,12.107,3.6902,p0226
0.74721,1.0096,0.5126,12.423,8.3791,p0227
1.1344,1.3525,0.8169,3.472,16.773,p0228
1.8637,0.15697,0.15571,13.093,14.449,p0229
0.43046,0.53224,0.10414,19.197,3.2911,p0230
0.53794,0.57657,1.4874,18.734,16.487,p0231
0.50408,0.60595,0.95497,4.6861,3.7957,p0232
0.64754,1.1272,0.76625,12.618,16.3,p0233
1.8894,1.1761,0.12206,4.166,15.583,p0234
0.85636,0.77976,1.3053,4.7997,15.234,p0235
1.1604,0.73957,0.30356,4.9305,6.4612,p0236
1.8911,0.98828,0.18109,0.5034,8.7993,p0237
0.69768,1.4577,0.61653,12.136,10.693,p0238
1.9095,1.0125,0.43512,6.3604,10.327,p0239
1.1712,1.3486,0.69349,15.579,14.772,p0240
1.1842,0.52105,1.4072,15.687,16.181,p0241
1.9471,0.10731,0.44815,12.241,4.3888,p0242
1.131,0.2458,0.63259,19.222,19.67,p0243
1.562,1.3141,0.60516,0.89782,4.9988,p0244
0.61598,0.95856,0.6976,2.473,5.3542,p0245
0.93602,0.37845,0.91417,4.6035,18.6,p0246
0.52911,1.2609,0.49297,15.038,2.6072,p0247
1.1495,0.30047,1.9002,18.21,16.985,p0248
1.8017,0.88872,0.14361,13.021,5.5776,p0249
1.2163,1.1916,1.1287,18.295,6.102,p0250
1.1817,0.60829,1.9016,11.715,13.617,p0251
0.10382,1.2861,0.33121,8.6109,3.6384,p0252
1.3836,0.79394,1.8586,6.8978,16.403,p0253
0.28893,0.6221,0.21537,7.3163,0.63004,p0254
0.49238,0.39698,1.413,17.898,17.024,p0255
0.79548,0.51098,1.3722,14.788,0.67156,p0256
1.2797,0.2363,1.6157,17.097,15.906,p0257
1.3375,1.0815,1.1085,13.674,19.368,p0258
1.1232,0.19909,0.99881,6.0415,11.129,p0259
0.90973,1.2314,0.29661,1.711,17.701,p0260
0.7804,0.9077,0.13191,9.3243,8.7643,p0261
1.9423,0.4433,0.91193,16.14,19.146,p0262
0.21276,0.46066,1.0282,12.447,4.3238,p0263
0.17532,0.56268,0.32656,3.0739,13.517,p0264
1.2273,1.2135,1.2673,11.147,12.525,p0265
1.2818,1.2095,1.5864,16.284,6.2514,p0266
0.11292,0.33778,0.25886,13.807,7.0703,p0267
1.286,1.4678,1.5686,12.863,3.5386,p0268
1.71,1.4786,1.4563,16.952,5.6597,p0269
0.93451,1.0564,0.75075,5.6244,14.196,p0270
1.5652,0.76417,0.77017,12.32,19.472,p0271
1.9641,0.12252,1.3733,17.493,1.3992,p0272
0.86195,1.1957,0.24783,18.354,19.593,p0273
0.19997,0.72866,0.28747,9.5134,3.6041,p0274
0.40643,1.2182,0.61051,7.1159,1.0704,p0275
1.3019,0.25966,0.95849,10.161,15.464,p0276
1.8845,1.2414,1.7422,12.052,12.154,p0277
1.8383,0.77526,0.38359,6.2494,8.4071,p0278
1.0399,0.3208,0.89323,19.486,3.4986,p0279
1.172,1.482,1.8394,12.871,14.591,p0280
0.47452,1.4755,1.304,14.907,15.513,p0281
1.8109,0.82227,1.9832,12.294,16.228,p0282
1.1433,0.18392,1.9103,19.341,5.7448,p0283
0.57782,0.18801,1.9415,19.374,12.439,p0284
0.36945,1.4533,1.1446,8.1755,9.4073,p0285
1.8729,0.71723,0.63677,13.172,6.396,p0286
1.4133,0.3872,0.96494,15.303,4.5882,p0287
1.1188,0.4128,1.0815,11.829,13.094,p0288
1.5734,1.1636,1.2799,4.8668,7.2132,p0289
0.92463,0.6146,0.25382,11.041,2.2911,p0290
1.3171,0.15507,0.68334,16.336,12.395,p0291
0.13294,1.2257,1.3306,8.2433,11.237,p0292
1.4752,0.83116,0.19905,17.024,17.513,p0293
0.36367,1.0668,0.9386,6.2254,19.707,p0294
1.1117,1.3075,0.74483,15.876,4.6272,p0295
0.78986,0.98079,0.6551,17.644,1.83,p0296
1.3918,0.60364,0.97995,3.7227,10.895,p0297
0.69552,0.92523,1.525,19.693,18.796,p0298
0.15369,0.45193,1.5715,2.7621,2.8809,p0299
0.88065,1.1023,0.12428,6.7833,16.539,p0300
1.9766,0.41452,0.51573,10.69,3.0479,p0301
1.2547,0.40795,0.8858,4.7234,6.5873,p0302
1.0258,1.1727,1.2214,13.344,2.7914,p0303
0.29571,0.89655,1.8841,2.1305,4.9285,p0304
1.9145,1.235,1.2712,8.5067,7.7752,p0305
0.25437,0.24192,1.7885,4.9873,11.162,p0306
0.80028,0.36533,1.513,3.1362,6.8103,p0307
0.71191,0.26939,1.4657,11.583,4.4177,p0308
0.46243,0.25231,1.3531,16.634,0.903,p0309
1.1661,0.23302,0.73285,15.749,10.624,p0310
1.1908,0.99219,1.1941,13.11,11.828,p0311
1.6607,0.94772,0.81009,0.67655,8.0456,p0312
0.55842,0.12202,0.8192,9.6329,13.962,p0313
1.3331,0.44804,1.3905,8.3313,0.86946,p0314
1.7826,1.4903,1.7968,15.463,15.783,p0315
0.54735,0.85783,1.5302,15.171,11.593,p0316
0.66669,0.80459,0.47056,3.6697,6.7319,p0317
0.60869,0.60999,0.3104,8.0514,4.8815,p0318
1.8052,0.58548,0.44071,1.289,17.83,p0319
1.3284,0.34706,0.52401,14.293,12.102,p0320
0.63565,0.36202,0.90867,4.0234,16.158,p0321
1.3653,1.1654,0.354,1.1582,14.655,p0322
1.9448,0.21381,0.98833,3.2059,7.5735,p0323
0.14001,0.16858,1.1561,13.942,17.256,p0324
1.0097,1.0937,1.5536,18.46,13.245,p0325
1.2778,0.2102,0.52631,14.183,17.859,p0326
0.40907,0.20461,0.48858,0.5301,11.413,p0327
0.51431,0.96274,1.5944,8.529,7.2819,p0328
0.47967,0.72368,1.3677,9.8489,19.933,p0329
0.26288,0.15173,0.13805,5.0843,12.176,p0330
1.3099,0.54793,1.7403,3.848,7.4315,p0331
0.24088,1.3713,1.6376,2.2838,11.208,p0332
1.6375,0.59551,1.7808,5.4046,6.2216,p0333
0.21446,0.11844,1.96,16.729,3.3442,p0334
0.67788,0.72028,0.71828,3.3378,9.8813,p0335
1.0687,0.3104,1.2114,19.644,0.50151,p0336
0.6746,0.94103,0.78934,11.451,14.025,p0337
0.84156,0.76258,1.3796,5.9064,15.175,p0338
1.9372,0.48984,0.2031,5.7233,18.254,p0339
0.968,1.3181,1.1646,14.095,4.2633,p0340
1.7558,0.45772,0.92955,17.599,0.69873,p0341
1.8496,0.42052,1.4455,16.008,1.9346,p0342
1.8975,1.4845,1.5143,13.422,7.8641,p0343
0.87482,0.37498,0.42581,2.5557,18.401,p0344
1.7249,0.64289,1.7924,16.585,13.16,p0345
1.5207,0.27233,1.9505,17.219,8.5694,p0346
1.102,0.17972,1.9336,15.381,6.2841,p0347
1.2014,0.12729,0.10987,17.654,6.1584,p0348
