wind_speed,swr,turbulence/turb_param/k_min,light_extinction/g1/constant_value,par_id
0.68075,1.0563,7.7376e-09,0.47806,p0001
0.87595,0.42965,1.9586e-06,0.63921,p0002
1.697,0.3125,4.5653e-10,0.071203,p0003
0.13408,0.94707,1.2073e-10,0.83079,p0004
0.90274,0.34608,2.2112e-08,0.4704,p0005
0.96515,1.2972,3.4413e-10,0.49035,p0006
1.6887,0.65997,2.6291e-07,0.45037,p0007
0.42441,0.51754,1.9677e-10,0.1577,p0008
1.2057,1.4647,9.0718e-08,0.62234,p0009
1.7162,0.31485,1.8859e-06,0.32112,p0010
0.30091,0.9694,4.5625e-09,0.59015,p0011
1.0313,0.18423,1.6091e-06,0.62093,p0012
1.2497,1.1919,5.5115e-08,0.27423,p0013
1.679,0.24166,9.0534e-10,0.1922,p0014
1.9716,1.1217,1.9222e-09,0.42343,p0015
0.28907,0.25538,6.5498e-09,0.18699,p0016
0.3779,0.94072,2.2295e-06,0.87543,p0017
0.15004,0.50563,9.1267e-06,0.86164,p0018
0.82813,0.96297,2.4049e-09,0.9635,p0019
0.79205,0.8178,5.4526e-06,0.44163,p0020
0.37175,0.23042,4.4195e-06,0.63136,p0021
1.5292,1.369,2.5153e-06,0.954,p0022
0.41397,0.74033,5.3795e-08,0.68791,p0023
0.11903,1.3139,1.0602e-08,0.72406,p0024
0.79009,1.1277,1.5577e-10,0.82783,p0025
0.95767,0.46082,6.6309e-10,0.22436,p0026
0.34533,0.19877,4.7031e-06,0.35261,p0027
0.973,0.39878,6.6503e-05,0.98397,p0028
1.2949,1.1073,5.5101e-05,0.45158,p0029
1.9695,1.1983,5.9315e-06,0.57965,p0030
1.3732,0.59285,5.7039e-10,0.88976,p0031
0.33667,1.175,9.5718e-07,0.98849,p0032
0.80834,0.48131,6.2211e-09,0.027198,p0033
1.391,0.58347,6.9785e-07,0.077614,p0034
1.1959,1.0252,2.6043e-05,0.081495,p0035
0.87184,0.93019,2.2528e-08,0.71418,p0036
1.0915,0.98021,9.3689e-05,0.9602,p0037
0.80614,0.61154,1.5111e-10,0.29342,p0038
0.85422,0.26543,1.4105e-05,0.72029,p0039
0.60479,0.12377,1.1541e-06,0.5856,p0040
1.7578,1.2076,1.6552e-09,0.14008,p0041
1.3402,1.0853,3.9723e-10,0.27622,p0042
0.69932,1.1848,3.4912e-09,0.43906,p0043
0.44854,0.4973,3.1514e-09,0.87223,p0044
1.0026,0.35497,5.551e-10,0.82286,p0045
1.5393,1.1867,2.9204e-05,0.31501,p0046
1.5467,0.39108,2.9204e-06,0.40081,p0047
