wind_speed,swr,turbulence/turb_param/k_min,light_extinction/g1/constant_value,par_id
1.4594,1.2291,1.2557e-10,0.039891,p0001
1.6552,1.2565,5.3186e-10,0.017257,p0002
1.0013,0.30984,1.5694e-10,0.51446,p0003
1.9479,1.2814,3.3255e-06,0.37572,p0004
0.87766,0.2096,4.7896e-06,0.10169,p0005
1.075,1.1516,8.2018e-09,0.66642,p0006
1.7891,0.40597,1.321e-08,0.43797,p0007
1.8133,0.51729,2.7048e-07,0.28161,p0008
1.6731,0.19499,1.0519e-09,0.11382,p0009
0.37168,0.36582,2.1384e-09,0.36431,p0010
1.5132,0.15243,7.3247e-10,0.10782,p0011
0.31349,0.99141,1.711e-07,0.38203,p0012
0.64367,0.27353,1.0519e-05,0.88701,p0013
0.17555,0.90899,8.8668e-09,0.71082,p0014
0.75605,0.77905,7.6264e-08,0.82506,p0015
1.0052,0.41519,3.1301e-10,0.72093,p0016
0.58225,0.41782,4.7203e-09,0.33449,p0017
1.2876,1.4102,8.9847e-06,0.52606,p0018
1.1117,1.4326,9.2304e-10,0.21953,p0019
1.0118,0.5677,6.8194e-07,0.56817,p0020
0.86658,0.39451,1.6028e-06,0.81127,p0021
0.89308,0.57419,1.2836e-10,0.09692,p0022
0.47689,0.411,1.0705e-10,0.1228,p0023
1.8663,0.57792,3.6507e-06,0.80456,p0024
0.14364,0.50415,1.1998e-06,0.92915,p0025
1.6429,0.85949,8.7149e-06,0.3993,p0026
1.3192,0.24011,1.3237e-06,0.37346,p0027
1.7826,1.2723,1.4129e-05,0.87641,p0028
1.4142,0.71482,9.3585e-09,0.35047,p0029
0.15449,0.39108,1.6768e-06,0.55523,p0030
1.2288,0.36719,1.3917e-10,0.6138,p0031
1.8304,0.27923,5.954e-06,0.67137,p0032
1.6282,0.1136,9.0559e-05,0.94312,p0033
0.59233,0.45129,8.7043e-10,0.45124,p0034
0.78788,0.88855,4.2689e-10,0.82615,p0035
1.9866,0.11953,4.6033e-07,0.85776,p0036
1.7467,0.61603,9.5355e-10,0.69168,p0037
