wind_speed,swr,ModelParameters/a_seiche,ModelParameters/k_min,ModelParameters/beta_sol,ModelParameters/p_windf,par_id
0.52022,1.1578,0.0029678,5.6302e-10,1.3093,1.3949,p0001
0.22365,1.4186,0.0027289,1.5232e-13,0.70726,1.9671,p0002
1.4192,0.60624,0.0014588,1.8984e-13,0.38869,1.1965,p0003
0.48158,0.98483,0.0028233,1.0096e-10,1.1965,0.47994,p0004
1.286,0.24529,0.0011708,2.5842e-10,1.8516,1.3465,p0005
1.3031,0.88466,0.0020348,8.7097e-12,0.27499,0.50096,p0006
0.65897,0.17169,0.00081435,5.0849e-12,1.4235,0.46633,p0007
1.9598,1.224,0.0014512,2.2168e-10,0.83305,1.0703,p0008
0.84376,0.2582,0.0018715,1.4195e-15,1.5497,1.1198,p0009
1.1704,0.84947,0.0026253,6.6731e-15,0.84616,1.0037,p0010
1.4499,1.0437,0.0020084,4.5813e-08,1.8928,1.6851,p0011
1.9363,0.32104,0.0013529,2.7287e-08,1.5345,0.93009,p0012
1.118,0.91962,0.0012288,2.8335e-07,0.18922,0.55727,p0013
1.784,1.4554,0.0017113,1.3078e-13,1.2858,1.959,p0014
1.504,1.4881,0.001708,9.2175e-06,0.2321,1.5652,p0015
1.6276,0.73302,0.0011211,1.8684e-11,0.72841,0.9843,p0016
1.1129,1.2134,0.0020224,1.5862e-06,1.4886,1.2171,p0017
1.6701,0.23105,0.00090614,3.1209e-06,1.2193,0.25734,p0018
0.35613,0.76888,0.0015109,2.8767e-11,1.7842,0.78188,p0019
1.4672,0.6829,0.0016533,4.1781e-10,1.973,0.95937,p0020
1.839,0.90586,0.0010435,9.5954e-15,1.8045,1.8169,p0021
0.10832,1.375,0.0010192,1.7341e-09,0.60584,1.0819,p0022
0.89524,0.13107,0.0026597,1.0529e-10,1.4685,1.045,p0023
0.59661,1.3429,0.0015244,2.6504e-12,1.481,1.8351,p0024
1.5476,0.61955,0.00092175,1.2148e-13,1.3837,1.6713,p0025
0.60653,0.78074,0.001152,1.3209e-11,1.1913,1.1813,p0026
1.5803,1.151,0.0020439,6.612e-12,0.058288,1.3404,p0027
0.89375,1.1349,0.0026923,2.5924e-13,1.8901,0.92308,p0028
1.7129,1.3506,0.0019236,4.6201e-09,1.3343,1.7857,p0029
1.4803,0.52737,0.0016974,8.539e-10,0.91058,1.5208,p0030
0.62319,0.99009,0.00085226,2.0084e-15,0.98907,0.49502,p0031
0.96428,1.2314,0.0016443,7.6184e-12,1.2619,1.5728,p0032
0.51252,0.707,0.00082071,1.3501e-08,1.2557,0.65076,p0033
0.24168,0.46113,0.000904,5.7839e-07,1.6542,1.6423,p0034
0.49666,0.85818,0.0015814,1.2425e-08,0.39614,1.9176,p0035
0.14447,0.82574,0.0024759,3.2018e-08,0.30497,1.7631,p0036
0.46445,1.2493,0.0010528,5.405e-09,1.9368,0.15321,p0037
1.6177,0.99461,0.0025203,5.0448e-07,0.18759,1.6291,p0038
1.9705,1.3651,0.00080492,9.4362e-13,1.1811,1.2297,p0039
0.61216,0.41098,0.00147,2.2265e-09,1.7652,1.2869,p0040
1.1676,0.29405,0.0025188,4.5285e-13,1.8195,1.1276,p0041
1.2346,0.39116,0.0014046,1.9314e-10,0.13018,0.97166,p0042
1.2416,0.55006,0.0010277,2.5663e-08,0.35353,0.57717,p0043
1.8995,0.38377,0.0015003,1.4192e-10,1.4471,1.742,p0044
0.93999,0.72909,0.0011043,1.5203e-10,0.029183,1.2399,p0045
1.0268,0.18423,0.00082233,1.0113e-11,0.09889,0.59944,p0046
1.5907,1.462,0.0024861,8.0634e-15,0.93421,1.8208,p0047
0.66697,0.25573,0.0016183,2.5062e-15,1.4082,0.15948,p0048
1.0859,0.45367,0.0021588,5.9664e-06,1.8204,0.59267,p0049
0.82909,1.1277,0.0018318,3.9947e-15,0.68751,0.94954,p0050
0.16245,0.15956,0.0022588,8.5267e-14,1.7818,0.89879,p0051
0.81304,0.40702,0.0023855,1.3483e-10,0.20035,1.5556,p0052
0.7597,0.17959,0.0019896,7.2789e-10,0.61457,0.52663,p0053
0.9842,0.83329,0.0013394,1.1123e-15,1.2703,0.50363,p0054
0.53766,0.36107,0.00086308,2.0606e-08,1.8816,0.45089,p0055
1.0477,1.1875,0.0011157,8.857e-07,0.088927,1.3283,p0056
1.9688,1.2437,0.0010607,9.6546e-11,1.2146,1.3442,p0057
1.2439,0.95051,0.0013752,4.8138e-13,1.2335,0.34141,p0058
1.3423,1.0706,0.001143,1.5495e-08,1.693,0.46908,p0059
1.3624,1.4433,0.0022473,6.9161e-07,1.9064,0.77571,p0060
0.86688,1.1632,0.0015635,1.7758e-07,0.46532,1.3268,p0061
1.4363,0.77233,0.0024517,5.5875e-07,1.156,1.3783,p0062
0.21722,1.2176,0.00086738,4.4263e-14,1.6384,1.9533,p0063
1.4442,1.1547,0.0009532,1.6149e-12,1.4987,0.98647,p0064
0.82263,0.73583,0.0024357,5.5381e-08,0.10564,0.43311,p0065
1.1068,1.3835,0.00096761,9.6083e-13,0.15611,1.9353,p0066
0.84903,1.002,0.00089519,4.8731e-14,0.59541,1.2,p0067
0.68745,0.11881,0.0028813,2.0468e-14,0.5045,1.0766,p0068
1.2298,0.44334,0.0025007,1.8506e-12,1.0948,1.245,p0069
1.6426,1.4397,0.0024669,2.5723e-14,0.17782,0.59726,p0070
1.8621,0.99905,0.0018258,3.109e-10,0.87745,1.0125,p0071
0.79129,0.34638,0.0025536,2.0122e-10,0.27884,1.2808,p0072
1.0096,1.0111,0.00091979,6.2811e-10,0.58618,1.4133,p0073
1.7057,1.2292,0.00085439,9.7326e-06,0.57104,1.2678,p0074
1.5993,1.3099,0.0021079,1.0829e-15,0.93145,1.8689,p0075
1.496,1.0246,0.0027088,3.8843e-14,1.3321,0.94578,p0076
0.98802,0.47481,0.0013418,1.4412e-09,0.41575,1.5684,p0077
1.7002,0.85494,0.0012692,8.6889e-12,1.9001,0.24506,p0078
0.66602,0.33374,0.00087349,3.7163e-06,0.97365,1.8054,p0079
0.15596,1.1139,0.001546,3.5391e-15,1.899,0.61659,p0080
0.45763,0.57732,0.0018131,2.8626e-15,1.9254,1.8278,p0081
0.90657,0.92342,0.0010392,3.0066e-08,0.69028,1.1617,p0082
0.12656,0.13869,0.001174,5.0808e-09,1.8279,0.26619,p0083
0.13854,0.36588,0.0019544,3.2592e-10,0.98731,1.2416,p0084
1.8918,0.49162,0.00093131,4.7702e-10,0.62648,1.364,p0085
0.49091,0.81942,0.001283,5.0166e-08,1.4336,1.6808,p0086
1.4487,1.2394,0.0021755,1.4402e-12,0.45936,0.16212,p0087
0.54406,1.4582,0.0013113,7.027e-07,1.2372,1.358,p0088
1.3282,1.2106,0.00098164,2.6483e-10,0.11878,0.19511,p0089
1.0416,0.74185,0.00088182,2.5854e-11,1.7976,0.38258,p0090
1.6734,0.15439,0.0020522,1.2106e-12,0.040916,0.44026,p0091
1.5168,0.26771,0.00091083,5.2933e-10,1.7772,1.7487,p0092
0.31714,0.81577,0.0010104,1.8198e-06,0.67225,0.83087,p0093
0.33961,0.34298,0.0021691,6.3364e-14,0.84143,0.62532,p0094
1.2946,0.23789,0.0011898,2.9289e-10,1.0997,0.44366,p0095
1.8878,1.2963,0.0023296,1.2031e-10,0.78487,0.19911,p0096
0.44831,0.52402,0.0015869,2.9015e-15,1.047,1.4555,p0097
0.79393,0.51626,0.0025814,1.0131e-08,0.47483,0.88913,p0098
0.90545,0.29045,0.0016124,3.2714e-07,1.0657,1.4384,p0099
1.3517,0.58186,0.0014559,3.4198e-10,0.81758,1.0593,p0100
1.6262,0.96563,0.001305,4.0247e-08,0.25073,0.87367,p0101
1.8835,0.50121,0.0028211,3.3925e-15,0.6808,0.19467,p0102
1.6203,0.79246,0.0028333,1.0898e-12,1.8731,1.4958,p0103
1.6962,1.2277,0.0017972,5.776e-08,1.1352,1.9982,p0104
1.1879,0.71393,0.0027156,6.9981e-13,0.52967,1.7558,p0105
0.15792,1.4106,0.00093647,5.6729e-09,1.9144,0.18569,p0106
1.2549,1.3792,0.0010085,3.3578e-11,1.4483,1.4437,p0107
0.16565,0.6711,0.0021439,6.2172e-15,0.21228,1.1309,p0108
1.3888,0.13004,0.0012642,2.9559e-11,0.73505,1.2513,p0109
1.4937,0.51182,0.00098445,6.275e-06,1.1609,0.72259,p0110
1.1841,0.3361,0.0022635,1.3403e-15,1.972,0.5112,p0111
0.17303,1.3065,0.0012907,6.632e-14,0.30414,0.98938,p0112
1.7584,1.1779,0.0027711,8.5892e-11,0.49788,1.7916,p0113
